,,,,,,"""@parameter""","""@parameterKey""","""sigdef""","""sigdef""","""sigdef""","""sigdef""","""@rangeLow""","""@rangeHigh""","""@deltaPercent""","""@EU""","""@isarchive""","""@isalarm""","""@alarmtype""","""@prio""","""@active""","""@inactive"""
11,POLY,360,Y17,I,Y-coordinate breakpoint 17,,,,,,,,,,,,,,,,
11,POLY,370,X18,I,X-coordinate breakpoint 18,,,,,,,,,,,,,,,,
11,POLY,380,Y18,I,Y-coordinate breakpoint 18,,,,,,,,,,,,,,,,
11,POLY,390,X19,I,X-coordinate breakpoint 19,,,,,,,,,,,,,,,,
11,POLY,400,Y19,I,Y-coordinate breakpoint 19,,,,,,,,,,,,,,,,
11,POLY,410,X20,I,X-coordinate breakpoint 20,,,,,,,,,,,,,,,,
11,POLY,420,Y20,I,Y-coordinate breakpoint 20,,,,,,,,,,,,,,,,
11,POLY,20000,QUALITY,I,Quality Processing,,,,,,,,,,,,,,,,
11,POLY,1000,OUT,O,Output Value,,,,,,,,,,,,,,,,
11,POLY,1010,TRBL_AL,O,Trouble Alarm,,,,,,,,,,,,,,,,
12,POWER,10,X,I,Mantissa,,,,,,,,,,,,,,,,
12,POWER,20,Y,I,Exponent,,,,,,,,,,,,,,,,
12,POWER,20000,QUALITY,I,Quality Processing,,,,,,,,,,,,,,,,
12,POWER,1000,OUT,O,Output Value,,,,,,,,,,,,,,,,
12,POWER,1010,TRBL_AL,O,Trouble Alarm,,,,,,,,,,,,,,,,
13,MONIT,10,IN,I,Analog Input Value,,,,,,,,,,,,,,,,
13,MONIT,20,LV,I,Limit Value,,,,,,,,,,,,,,,,
13,MONIT,30,DB,I,Deadband(Hysteresis),,,,,,,,,,,,,,,,
13,MONIT,40,HI_LOW,I,Upper/Lower Limit,,,,,,,,,,,,,,,,
13,MONIT,20000,QUALITY,I,Quality Processing,,,,,,,,,,,,,,,,
13,MONIT,1000,Q,O,Limit Signal Q,,,,,,,,,,,,,,,,
13,MONIT,1010,Q_N,O,Negated Limit Signal,,,,,,,,,,,,,,,,
13,MONIT,1020,QA,O,Quality Alarm,,,,,,,,,,,,,,,,
14,AXFR,10,NO,I,Analog Input 1,,,,,,,,,,,,,,,,
14,AXFR,20,YES,I,Analog Input 2,,,,,,,,,,,,,,,,
14,AXFR,30,SEL,I,Selector,,,,,,,,,,,,,,,,
14,AXFR,20000,QUALITY,I,Quality Processing,,,,,,,,,,,,,,,,
14,AXFR,1000,OUT,O,Output value,,,,,,,,,,,,,,,,
15,ABS,10,IN,I,Input value,,,,,,,,,,,,,,,,
15,ABS,20000,QUALITY,I,Quality Processing,,,,,,,,,,,,,,,,
15,ABS,1000,OUT,O,Absolute value,,,,,,,,,,,,,,,,
16,AVER,10,IN1,I,Input Value 1,,,,,,,,,,,,,,,,
16,AVER,20,IN2,I,Input Value 2,,,,,,,,,,,,,,,,
16,AVER,30,IN3,I,Input Value 3,,,,,,,,,,,,,,,,
16,AVER,40,IN4,I,Input Value 4,,,,,,,,,,,,,,,,
16,AVER,20000,QUALITY,I,Quality Processing,,,,,,,,,,,,,,,,
16,AVER,1000,OUT,O,Output Value,,,,,,,,,,,,,,,,
16,AVER,1010,TRBL_AL,O,Trouble  Alarm,,,,,,,,,,,,,,,,
16,AVER,1020,Q_AL,O,Quality Alarm,,,,,,,,,,,,,,,,
18,DB,10,IN,I,Input Value,,,,,,,,,,,,,,,,
18,DB,20,DB,I,Deadband,,,,,,,,,,,,,,,,
18,DB,20000,QUALITY,I,Quality Processing,,,,,,,,,,,,,,,,
18,DB,1000,OUT,O,Output Value,,,,,,,,,,,,,,,,
18,DB,1010,TRBL_AL,O,Trouble Alarm,,,,,,,,,,,,,,,,
19,DERIV,10,IN,I,Input Value,,,,,,,,,,,,,,,,
19,DERIV,20,TD,I,Time Difference in seconds,,,,,,,,,,,,,,,,
19,DERIV,30,T1,I,Delay Time in seconds,,,,,,,,,,,,,,,,
19,DERIV,40,UL,I,Upper Limit,,,,,,,,,,,,,,,,
19,DERIV,50,LL,I,Lower Limit,,,,,,,,,,,,,,,,
19,DERIV,60,RES,I,Reset of OUT,,,,,,,,,,,,,,,,
19,DERIV,20000,QUALITY,I,Quality Processing,,,,,,,,,,,,,,,,
19,DERIV,1000,OUT,O,Output Value,,,,,,,,,,,,,,,,
19,DERIV,1010,OUT_UL,O,Output Upper Limit,,,,,,,,,,,,,,,,
19,DERIV,1020,OUT_LL,O,Output Lower Limit,,,,,,,,,,,,,,,,
19,DERIV,1030,TRBL_AL,O,Trouble Alarm,,,,,,,,,,,,,,,,
20,INT,20,IN,I,input value,,,,,,,,,,,,,,,,
20,INT,30,TN,I,integration time,,,,,,,,,,,,,,,,
20,INT,40,UL,I,Upper Limit,,,,,,,,,,,,,,,,
20,INT,50,LL,I,Lower Limit,,,,,,,,,,,,,,,,
20,INT,10,TRACKV,I,external feed forward value,,,,,,,,,,,,,,,,
20,INT,60,C_TRACK,I,command feed forward,,,,,,,,,,,,,,,,
20,INT,70,EN_INC,I,increase of output allowed,,,,,,,,,,,,,,,,
20,INT,80,EN_DEC,I,decrease of output allowed,,,,,,,,,,,,,,,,
20,INT,20000,QUALITY,I,Quality Processing,,,,,,,,,,,,,,,,
20,INT,1000,OUT,O,Output Value,,,,,,,,,,,,,,,,
20,INT,1010,OUT_UL,O,Output Upper Limit,,,,,,,,,,,,,,,,
20,INT,1020,OUT_LL,O,Output Lower Limit,,,,,,,,,,,,,,,,
20,INT,1030,TRBL_AL,O,Trouble Alarm,,,,,,,,,,,,,,,,
21,PT1,10,IN,I,Input Value,,,,,,,,,,,,,,,,
21,PT1,20,T1,I,Delay Time,,,,,,,,,,,,,,,,
21,PT1,30,D_OFF,I,Delay off,,,,,,,,,,,,,,,,
21,PT1,20000,QUALITY,I,Quality Processing,,,,,,,,,,,,,,,,
21,PT1,1000,OUT,O,Output Value,,,,,,,,,,,,,,,,
21,PT1,1010,TRBL_AL,O,Trouble Alarm,,,,,,,,,,,,,,,,
22,RAXFR,10,NO,I,Analog input 1,,,,,,,,,,,,,,,,
22,RAXFR,20,YES,I,Analog input 2,,,,,,,,,,,,,,,,
22,RAXFR,30,SEL,I,Selector,,,,,,,,,,,,,,,,
22,RAXFR,40,RR_NO,I,Ramp Rate to input 1 in EU/Base,,,,,,,,,,,,,,,,
22,RAXFR,50,RR_YES,I,Ramp Rate to input 2 in EU/Base,,,,,,,,,,,,,,,,
22,RAXFR,70,BASE,I,Time Base,,,,,,,,,,,,,,,,
22,RAXFR,60,ALV,I,Adjustment limit value in EU,,,,,,,,,,,,,,,,
22,RAXFR,20000,QUALITY,I,Quality Processing,,,,,,,,,,,,,,,,
22,RAXFR,1000,OUT,O,Output Value,,,,,,,,,,,,,,,,
25,ASIG,10,IN,I,Constant Input Value,,,,,,,,,,,,,,,,
25,ASIG,1000,OUT,O,Output Value,,,,,,,,,,,,,,,,
26,COMP,10,IN1,I,Analog Input Value 1,,,,,,,,,,,,,,,,
26,COMP,20,IN2,I,Analog Input Value 2,,,,,,,,,,,,,,,,
26,COMP,20000,QUALITY,I,Quality Processing,,,,,,,,,,,,,,,,
26,COMP,1000,Q_G,O,IN1 greater than IN2,,,,,,,,,,,,,,,,
26,COMP,1010,Q_E,O,IN1 equal to IN2,,,,,,,,,,,,,,,,
26,COMP,1020,Q_L,O,IN1 less than IN2,,,,,,,,,,,,,,,,
27,CONV,10,IN,I,Analog Input Value,,,,,,,,,,,,,,,,
27,CONV,40,EU_IN,I,Input Engineering Units,,,,,,,,,,,,,,,,
27,CONV,20,X1,I,X-coordinate Breakpoint 1,,,,,,,,,,,,,,,,
27,CONV,30,Y1,I,Y-coordinate Breakpoint 1,,,,,,,,,,,,,,,,
27,CONV,50,X2,I,X-coordinate Breakpoint 2,,,,,,,,,,,,,,,,
27,CONV,60,Y2,I,Y-coordinate Breakpoint 2,,,,,,,,,,,,,,,,
27,CONV,70,EU_OUT,I,Output Engineering Units,,,,,,,,,,,,,,,,
27,CONV,20000,QUALITY,I,Quality Processing,,,,,,,,,,,,,,,,
27,CONV,1000,OUT,O,Output value,,,,,,,,,,,,,,,,
27,CONV,1010,TRBL_AL,O,Trouble Alarm,,,,,,,,,,,,,,,,
28,LEADLAG,10,IN,I,Input Value,,,,,,,,,,,,,,,,
28,LEADLAG,20,T_LEAD,I,LEAD Time Constant (sec),,,,,,,,,,,,,,,,
28,LEADLAG,30,T_LAG,I,LAG Time Constant (sec),,,,,,,,,,,,,,,,
28,LEADLAG,40,GAIN,I,Gain Value,,,,,,,,,,,,,,,,
28,LEADLAG,20000,QUALITY,I,Quality Processing,,,,,,,,,,,,,,,,
28,LEADLAG,1000,OUT,O,Output Value,,,,,,,,,,,,,,,,
28,LEADLAG,1010,TRBL_AL,O,Trouble Alarm,,,,,,,,,,,,,,,,
29,TRIGON,10,IN,I,Analog Input Value,,,,,,,,,,,,,,,,
29,TRIGON,20,FUNCTION,I,Trigonometric Function,,,,,,,,,,,,,,,,
29,TRIGON,30,BASE,I,Calculation Base,,,,,,,,,,,,,,,,
29,TRIGON,20000,QUALITY,I,Quality Processing,,,,,,,,,,,,,,,,
29,TRIGON,1000,OUT,O,Output Value,,,,,,,,,,,,,,,,
29,TRIGON,1010,TRBL_AL,O,Trouble Alarm,,,,,,,,,,,,,,,,
100,AND,10,IN1,I,Binary Input 1,,,,,,,,,,,,,,,,
100,AND,20,IN2,I,Binary Input 2,,,,,,,,,,,,,,,,
100,AND,30,IN3,I,Binary Input 3,,,,,,,,,,,,,,,,
100,AND,40,IN4,I,Binary Input 4,,,,,,,,,,,,,,,,
100,AND,50,IN5,I,Binary Input 5,,,,,,,,,,,,,,,,
100,AND,60,IN6,I,Binary Input 6,,,,,,,,,,,,,,,,
100,AND,70,IN7,I,Binary Input 7,,,,,,,,,,,,,,,,
100,AND,80,IN8,I,Binary Input 8,,,,,,,,,,,,,,,,
100,AND,20000,QUALITY,I,Quality Processing,,,,,,,,,,,,,,,,
100,AND,1000,OUT,O,Binary Output,,,,,,,,,,,,,,,,
101,OR,10,IN1,I,Binary Input 1,,,,,,,,,,,,,,,,
101,OR,20,IN2,I,Binary Input 2,,,,,,,,,,,,,,,,
101,OR,30,IN3,I,Binary Input 3,,,,,,,,,,,,,,,,
101,OR,40,IN4,I,Binary Input 4,,,,,,,,,,,,,,,,
101,OR,50,IN5,I,Binary Input 5,,,,,,,,,,,,,,,,
101,OR,60,IN6,I,Binary Input 6,,,,,,,,,,,,,,,,
101,OR,70,IN7,I,Binary Input 7,,,,,,,,,,,,,,,,
101,OR,80,IN8,I,Binary input 8,,,,,,,,,,,,,,,,
101,OR,20000,QUALITY,I,Quality Processing,,,,,,,,,,,,,,,,
101,OR,1000,OUT,O,Binary Output,,,,,,,,,,,,,,,,
102,DYN_OR,10,IN1,I,Binary Input 1,,,,,,,,,,,,,,,,
102,DYN_OR,20,IN2,I,Binary Input 2,,,,,,,,,,,,,,,,
102,DYN_OR,30,IN3,I,Binary Input 3,,,,,,,,,,,,,,,,
102,DYN_OR,40,IN4,I,Binary Input 4,,,,,,,,,,,,,,,,
102,DYN_OR,50,IN5,I,Binary Input 5,,,,,,,,,,,,,,,,
102,DYN_OR,60,IN6,I,Binary Input 6,,,,,,,,,,,,,,,,
102,DYN_OR,70,IN7,I,Binary Input 7,,,,,,,,,,,,,,,,
102,DYN_OR,80,IN8,I,Binary input 8,,,,,,,,,,,,,,,,
102,DYN_OR,20000,QUALITY,I,Quality Processing,,,,,,,,,,,,,,,,
102,DYN_OR,1000,OUT_STAT,O,Static Binary Output,,,,,,,,,,,,,,,,
102,DYN_OR,1010,OUT_DYN,O,Dynamic Binary Output,,,,,,,,,,,,,,,,
103,NOT,10,IN,I,Binary Input,,,,,,,,,,,,,,,,
103,NOT,20000,QUALITY,I,Quality Processing,,,,,,,,,,,,,,,,
103,NOT,1000,OUT,O,Binary Output,,,,,,,,,,,,,,,,
104,EXOR,10,IN1,I,Binary Input 1,,,,,,,,,,,,,,,,
104,EXOR,20,IN2,I,Binary Input 2,,,,,,,,,,,,,,,,
104,EXOR,20000,QUALITY,I,Quality Processing,,,,,,,,,,,,,,,,
104,EXOR,1000,OUT,O,Binary Output,,,,,,,,,,,,,,,,
105,RS_FF,10,S,I,Set Input,,,,,,,,,,,,,,,,
105,RS_FF,20,R,I,Reset Input,,,,,,,,,,,,,,,,
105,RS_FF,30,DOM,I,Dominance,,,,,,,,,,,,,,,,
105,RS_FF,20000,QUALITY,I,Quality Processing,,,,,,,,,,,,,,,,
105,RS_FF,1000,Q,O,Output,,,,,,,,,,,,,,,,
105,RS_FF,1010,Q_N,O,Negated Output,,,,,,,,,,,,,,,,
106,JK_FF,10,J,I,Jump Input,,,,,,,,,,,,,,,,
106,JK_FF,20,K,I,Kill Input,,,,,,,,,,,,,,,,
106,JK_FF,30,C,I,Clock Input,,,,,,,,,,,,,,,,
106,JK_FF,20000,QUALITY,I,Quality Processing,,,,,,,,,,,,,,,,
106,JK_FF,1000,Q,O,Output,,,,,,,,,,,,,,,,
106,JK_FF,1010,Q_N,O,Negated  Output,,,,,,,,,,,,,,,,
107,BSIG,10,IN,I,Binary Constant,,,,,,,,,,,,,,,,
107,BSIG,1000,OUT,O,Binary Output Value,,,,,,,,,,,,,,,,
108,BXFR,10,NO,I,Binary Input 1,,,,,,,,,,,,,,,,
108,BXFR,20,YES,I,Binary Input 2,,,,,,,,,,,,,,,,
108,BXFR,30,SEL,I,Selector,,,,,,,,,,,,,,,,
108,BXFR,20000,QUALITY,I,Quality Processing,,,,,,,,,,,,,,,,
108,BXFR,1000,OUT,O,Binary Output,,,,,,,,,,,,,,,,
109,MINPULS,10,IN,I,Binary Input,,,,,,,,,,,,,,,,
109,MINPULS,20,TIME,I,Time Period,,,,,,,,,,,,,,,,
109,MINPULS,30,BASE,I,Time Base,,,,,,,,,,,,,,,,
109,MINPULS,40,RESET,I,Reset Input,,,,,,,,,,,,,,,,
109,MINPULS,20000,QUALITY,I,Quality Processing,,,,,,,,,,,,,,,,
109,MINPULS,1000,OUT,O,Binary Output,,,,,,,,,,,,,,,,
109,MINPULS,1010,RT,O,Remaining Time,,,,,,,,,,,,,,,,
110,PULSE,10,IN,I,Binary Input,,,,,,,,,,,,,,,,
110,PULSE,20,TIME,I,Time Period,,,,,,,,,,,,,,,,
110,PULSE,30,BASE,I,Time Base,,,,,,,,,,,,,,,,
110,PULSE,40,RESET,I,Reset Input,,,,,,,,,,,,,,,,
110,PULSE,20000,QUALITY,I,Quality Processing,,,,,,,,,,,,,,,,
110,PULSE,1000,OUT,O,Binary Output,,,,,,,,,,,,,,,,
110,PULSE,1010,RT,O,Remaining Time,,,,,,,,,,,,,,,,
111,LPULSE,10,IN,I,Binary Input,,,,,,,,,,,,,,,,
111,LPULSE,20,TIME,I,Time Period,,,,,,,,,,,,,,,,
111,LPULSE,30,BASE,I,Time Base,,,,,,,,,,,,,,,,
111,LPULSE,40,RESET,I,Reset Input,,,,,,,,,,,,,,,,
111,LPULSE,20000,QUALITY,I,Quality Processing,,,,,,,,,,,,,,,,
111,LPULSE,1000,OUT,O,Binary Output,,,,,,,,,,,,,,,,
111,LPULSE,1010,RT,O,Remaining Time,,,,,,,,,,,,,,,,
112,T_ON,10,IN,I,Binary Input,,,,,,,,,,,,,,,,
112,T_ON,20,TIME,I,Time Period,,,,,,,,,,,,,,,,
112,T_ON,30,BASE,I,Time Base,,,,,,,,,,,,,,,,
112,T_ON,40,RESET,I,Reset Input,,,,,,,,,,,,,,,,
112,T_ON,20000,QUALITY,I,Quality Processing,,,,,,,,,,,,,,,,
112,T_ON,1000,OUT,O,Binary Output,,,,,,,,,,,,,,,,
112,T_ON,1010,RT,O,Remaining Time,,,,,,,,,,,,,,,,
113,T_LON,10,IN,I,Binary Input,,,,,,,,,,,,,,,,
113,T_LON,20,TIME,I,Time Period,,,,,,,,,,,,,,,,
113,T_LON,30,BASE,I,Time Base,,,,,,,,,,,,,,,,
113,T_LON,40,RESET,I,Reset Input,,,,,,,,,,,,,,,,
113,T_LON,20000,QUALITY,I,Quality Processing,,,,,,,,,,,,,,,,
113,T_LON,1000,OUT,O,Binary Output,,,,,,,,,,,,,,,,
113,T_LON,1010,RT,O,Remaining Time,,,,,,,,,,,,,,,,
114,T_OFF,10,IN,I,Binary Input,,,,,,,,,,,,,,,,
114,T_OFF,20,TIME,I,Time Period,,,,,,,,,,,,,,,,
114,T_OFF,30,BASE,I,Time Base,,,,,,,,,,,,,,,,
114,T_OFF,40,RESET,I,Reset Input,,,,,,,,,,,,,,,,
114,T_OFF,20000,QUALITY,I,Quality Processing,,,,,,,,,,,,,,,,
114,T_OFF,1000,OUT,O,Binary Output,,,,,,,,,,,,,,,,
114,T_OFF,1010,RT,O,Remaining Time,,,,,,,,,,,,,,,,
115,BSEL,10,IN1,I,Binary Input1,,,,,,,,,,,,,,,,
115,BSEL,20,IN2,I,Binary Input2,,,,,,,,,,,,,,,,
115,BSEL,30,IN3,I,Binary Input3,,,,,,,,,,,,,,,,
115,BSEL,40,IN4,I,Binary Input4,,,,,,,,,,,,,,,,
115,BSEL,50,IN5,I,Binary Input5,,,,,,,,,,,,,,,,
115,BSEL,60,IN6,I,Binary Input6,,,,,,,,,,,,,,,,
115,BSEL,70,IN7,I,Binary Input7,,,,,,,,,,,,,,,,
115,BSEL,80,IN8,I,Binary Input8,,,,,,,,,,,,,,,,
115,BSEL,90,IN9,I,Binary Input9,,,,,,,,,,,,,,,,
115,BSEL,100,IN10,I,Binary Input10,,,,,,,,,,,,,,,,
115,BSEL,110,IN11,I,Binary Input11,,,,,,,,,,,,,,,,
115,BSEL,120,IN12,I,Binary Input12,,,,,,,,,,,,,,,,
115,BSEL,130,IN13,I,Binary Input13,,,,,,,,,,,,,,,,
115,BSEL,140,IN14,I,Binary Input14,,,,,,,,,,,,,,,,
115,BSEL,150,IN15,I,Binary Input15,,,,,,,,,,,,,,,,
115,BSEL,160,IN16,I,Binary Input16,,,,,,,,,,,,,,,,
115,BSEL,170,N_IN,I,Number of TRUE inputs,,,,,,,,,,,,,,,,
115,BSEL,20000,QUALITY,I,Quality Processing,,,,,,,,,,,,,,,,
115,BSEL,1000,OUT,O,Binary Output,,,,,,,,,,,,,,,,
116,COUNTER,10,CU,I,Counting UP,,,,,,,,,,,,,,,,
116,COUNTER,30,EN_UP,I,Enabling Counter UP,,,,,,,,,,,,,,,,
116,COUNTER,20,CD,I,Counting DOWN,,,,,,,,,,,,,,,,
116,COUNTER,40,EN_DOWN,I,Enabling Counter DOWN,,,,,,,,,,,,,,,,
116,COUNTER,50,S,I,Set Counter to SV,,,,,,,,,,,,,,,,
116,COUNTER,60,R,I,Reset Counter to LL,,,,,,,,,,,,,,,,
116,COUNTER,70,SV,I,Counter Set Value,,,,,,,,,,,,,,,,
116,COUNTER,80,UL,I,Counter Upper Limit,,,,,,,,,,,,,,,,
116,COUNTER,90,LL,I,Counter Lower Limit,,,,,,,,,,,,,,,,
116,COUNTER,1000,OUT,O,Counter Output Value,,,,,,,,,,,,,,,,
116,COUNTER,1010,OUT_UL,O,Output Upper Limit,,,,,,,,,,,,,,,,
116,COUNTER,1020,OUT_LL,O,Output Lower Limit,,,,,,,,,,,,,,,,
117,OP_BIN,1000,OUT,O,Output Value,,,,,,,,,,,,,,,,
118,OP_ANA,100,LL,I,Operation Limit Low,,,,,,,,,,,,,,,,
118,OP_ANA,110,UL,I,Operation Limit High,,,,,,,,,,,,,,,,
118,OP_ANA,120,EU,I,Engineering Units,,,,,,,,,,,,,,,,
118,OP_ANA,1000,OUT,O,Output Value,,,,,,,,,,,,,,,,
200,ASMON,10,IN,I,Input Value,,,,,,,,,,,,,,,,
200,ASMON,30,LV1,I,Limit Value 1,,,,,,,,,,,,,,,,
200,ASMON,130,LSG1,I,Limit Signal Generation 1,,,,,,,,,,,,,,,,
200,ASMON,140,HI_LOW1,I,Upper/Lower Limit 1,,,,,,,,,,,,,,,,
200,ASMON,40,LV2,I,Limit Value 2,,,,,,,,,,,,,,,,
200,ASMON,150,LSG2,I,Limit Signal Generation 2,,,,,,,,,,,,,,,,
